,model_0
0,0.3333333432674408
1,0.46666666865348816
2,0.5777778029441833
3,0.6416666507720947
4,0.6666666865348816
5,0.6888889074325562
6,0.7142857313156128
7,0.737500011920929
8,0.7592592835426331
9,0.7699999809265137
10,0.7787878513336182
11,0.7888888716697693
12,0.7923076748847961
13,0.7976190447807312
14,0.8022222518920898
15,0.8020833134651184
16,0.8078431487083435
17,0.8037037253379822
18,0.8087719082832336
19,0.8166666626930237
20,0.8206349015235901
21,0.8196969628334045
22,0.8202898502349854
23,0.8236111402511597
24,0.8253333568572998
25,0.8267716765403748
